method,n_procs,n_blocks,n_q_per_block,n_y_multiplier,n_theta,A_nnz_per_row,max_err,symbolic_time,numeric_time,back_solve_time,total_time
psc,8,8,5000,120,10,3,0.135902273,1.303762913,1.592430353,0.157469034,3.05359602
psc,16,16,5000,120,10,3,0.136356821,1.305876493,1.609651327,0.168327808,3.083480358
psc,32,32,5000,120,10,3,0.14783213,1.308186054,1.601710796,0.170841217,3.080385923
psc,64,64,5000,120,10,3,0.154793957,1.302372932,1.623304844,0.168077946,3.093509197
psc,128,128,5000,120,10,3,0.174822117,1.315321207,1.635349512,0.180801392,3.130775213
psc,256,256,5000,120,10,3,0.174822117,1.347602367,1.631464005,0.1771245,3.155195236
psc,512,512,5000,120,10,3,0.174822117,1.448589325,1.681401968,0.183191299,3.221205711
psc,1024,1024,5000,120,10,3,0.181047628,1.375491381,1.618256092,0.221220732,3.211299181
