end_t,nfe_x,nfe_t,IP solve,IP solve.init,IP solve.convergence check,IP solve.convergence check.grad obj,IP solve.convergence check.jac eq,IP solve.convergence check.jac ineq,IP solve.convergence check.eq cons,IP solve.convergence check.ineq cons,IP solve.convergence check.grad_lag_primals,IP solve.convergence check.grad_lag_slacks,IP solve.convergence check.bound resids,IP solve.eval,IP solve.eval.eval kkt,IP solve.eval.eval kkt.eval hess,IP solve.eval.eval kkt.eval jac,IP solve.eval.eval kkt.hess block,IP solve.eval.eval kkt.slack block,IP solve.eval.eval kkt.regularization block,IP solve.eval.eval kkt.set block,IP solve.eval.eval rhs,IP solve.eval.eval rhs.eval grad obj,IP solve.eval.eval rhs.eval jac,IP solve.eval.eval rhs.eval cons,IP solve.eval.eval rhs.grad_lag_primals,IP solve.eval.eval rhs.grad_lag_slacks,IP solve.factorize,IP solve.factorize.symbolic,IP solve.factorize.numeric,IP solve.back solve,IP solve.frac boundary
1,30,1600,6.307258638,0.008683756,1.648572158,0.863623124,0.431678081,0.003421174,0.147111492,0.000935562,0.09062703,0.000147188,0.041617224,1.872609094,1.710739197,1.585424595,0.061894678,0.030992843,0.000690846,0.008394154,0.020053761,0.161779203,0.003652204,0.088222066,0.006663918,0.059455609,0.000142073,2.039083784,0.208537566,1.830467194,0.187942361,0.07512724
2,30,3200,11.01960518,0.012954667,2.159965044,1.063932162,0.522892073,0.004784927,0.177115614,0.001487168,0.15507314,0.00013282,0.089711772,3.440194938,3.174636474,2.885702869,0.141610222,0.079921627,0.000725294,0.013746576,0.033914985,0.265494909,0.006819841,0.140456984,0.011487331,0.100429641,0.000124585,4.144050013,0.478874061,3.665117243,0.34935867,0.142444827
4,30,6400,27.54399623,0.078235444,6.23266929,3.185227543,1.688693181,0.011964759,0.363349348,0.002751829,0.375269102,0.000215616,0.240097156,6.529673882,5.824218713,5.044411758,0.421617588,0.216641,0.001179779,0.030572757,0.071072945,0.705364259,0.025116706,0.358562779,0.041073766,0.267028578,0.000198254,11.87127464,1.376935935,10.49422864,0.911407806,0.392437598
8,30,12800,46.05614392,0.136979358,9.250383314,4.272718655,2.468528207,0.014052479,0.625134908,0.00297037,0.627931096,0.000250338,0.483288698,11.99142143,10.8538553,9.568029361,0.627705468,0.427480698,0.001030551,0.050485509,0.115977328,1.137481561,0.027281243,0.599711465,0.053311851,0.431924822,0.000242796,20.54067178,2.232499165,18.3080891,1.230902411,0.648231363
16,30,25600,153.4980476,0.368126012,35.34532157,16.53452715,10.07064002,0.048229607,2.060428265,0.007449823,1.801520269,0.000348581,1.605089394,43.23506636,38.33133238,33.00183739,2.680013262,1.788907036,0.066987054,0.163797015,0.289419223,4.903602174,0.111239934,2.843009077,0.267269738,1.478754416,0.000290152,60.66424897,6.443321867,54.22079748,3.983509164,2.510214578
24,30,38400,232.3145942,0.635466428,55.04790793,23.14230311,16.87250373,0.075506903,3.37231686,0.015742304,2.586524112,0.000469839,2.463071518,60.573004,51.50480571,42.16500236,4.876426205,2.909929147,0.055934802,0.427844835,0.411518747,9.068030389,0.465585871,4.415590866,0.398143968,3.111424565,0.000442509,88.43220189,10.55511414,77.87697252,7.057821639,7.106766248
32,30,51200,252.0845222,0.927335406,61.19609572,25.24102612,18.78335093,0.073430713,3.354601227,0.014393654,3.288065415,0.000380026,2.650805073,61.57352266,52.56396331,43.18419542,4.68609135,3.04688617,0.066682883,0.383338142,0.489740338,9.009432375,0.327224564,4.518873673,0.414157433,3.035940442,0.000371858,102.1199208,12.17709221,89.94274221,7.305036852,6.611887816
64,30,102400,565.0726437,1.586358121,132.5707177,60.17980609,38.33642133,0.201586377,7.649492297,0.033713141,5.959939672,0.00044366,4.968051791,139.0645391,120.1354775,101.2297439,9.305191725,5.993677413,0.153043782,0.98666081,0.930179559,18.92889913,0.772960993,9.186030477,0.931730567,6.373912046,0.00040039,230.5580007,32.66384678,197.8940498,17.41468204,15.06095808
128,30,204800,1191.199573,3.157268129,277.0526942,129.142639,77.12565443,0.449845854,17.53289951,0.063873032,12.50378953,0.000437468,10.10669631,302.1661941,259.9400199,214.3659966,22.81155222,14.7084633,0.309285844,2.143532585,2.059032865,42.22600478,1.816823686,19.59327656,2.360072451,14.84288523,0.00043368,471.1587298,52.42841105,418.7301955,39.74807423,35.07678428
